Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;Humid1;Humid2;Pressure1;Pressure2;Could1;Cloud2;Temp1;Temp2;RainToday;RainTomorrow
01/02/08;Sydney;195;224;156;6.2;0;92;84;1017.6;10174;8;8;207;209;Yes;Yes
02/02/08;Sydney;195;256;6;3.4;27;83;73;1017.9;10164;7;7;224;248;Yes;Yes
03/02/08;Sydney;216;245;66;2.4;1;88;86;1016.7;10156;7;8;235;23;Yes;Yes
04/02/08;Sydney;202;228;188;2.2;0;83;90;1014.2;10118;8;8;214;209;Yes;Yes
05/02/08;Sydney;197;257;774;NA;0;88;74;1008.3;10048;8;8;225;255;Yes;Yes
06/02/08;Sydney;202;272;16;2.6;86;69;62;1002.7;9986;6;6;238;26;Yes;Yes
07/02/08;Sydney;186;263;62;5.2;52;75;80;999;10003;4;7;217;223;Yes;Yes
08/02/08;Sydney;172;223;276;5.8;21;77;61;1008.3;10074;7;8;189;211;Yes;Yes
09/02/08;Sydney;164;208;126;4.8;3;92;91;1006.4;10076;7;7;171;165;Yes;Yes
10/02/08;Sydney;146;242;88;4.4;101;80;53;1014;10134;4;2;172;233;Yes;No
11/02/08;Sydney;164;239;0;6.4;8;78;53;1017.6;10153;7;8;189;237;No;No
12/02/08;Sydney;189;273;0;6.8;67;68;67;1010.7;10075;7;7;229;247;No;Yes
13/02/08;Sydney;184;228;144;7;33;87;70;1009.2;10117;8;7;209;21;Yes;Yes
14/02/08;Sydney;169;243;3;3.2;87;81;51;1017.2;10165;7;1;184;233;Yes;No
15/02/08;Sydney;183;244;0;6.2;85;80;56;1020.2;10189;7;3;195;238;No;No
16/02/08;Sydney;167;241;0;6.2;88;77;52;1023;10226;7;6;198;233;No;No
17/02/08;Sydney;195;248;0;7.6;32;63;62;1024.7;10231;7;7;218;234;No;No
18/02/08;Sydney;186;253;0;4.2;45;70;59;1021.7;10194;7;6;212;238;No;No
19/02/08;Sydney;19;248;0;5.2;75;79;65;1018;10154;7;7;208;234;No;No
20/02/08;Sydney;183;264;0;4.6;111;80;60;1013.4;10108;3;1;213;252;No;No
21/02/08;Sydney;206;268;0;6.8;64;86;62;1011.4;10097;7;7;221;249;No;No
22/02/08;Sydney;191;254;4;4.4;94;77;66;1009.2;10031;4;1;223;249;No;No
23/02/08;Sydney;205;26;0;6.6;122;38;45;1007.4;1007;1;1;225;24;No;No
24/02/08;Sydney;165;283;0;8.6;12;48;40;1007.9;1008;0;0;212;261;No;No
25/02/08;Sydney;205;242;0;8.6;15;58;54;1017.5;10169;7;7;216;235;No;No
26/02/08;Sydney;193;262;0;3.6;84;73;65;1018.3;10156;1;6;23;258;No;Yes
27/02/08;Sydney;19;29;222;8.2;33;82;52;1014.1;10106;7;7;213;247;Yes;Yes
28/02/08;Sydney;179;214;42;4.2;0;77;88;1010;10101;8;8;204;192;Yes;Yes
29/02/08;Sydney;147;206;33;7;89;65;51;1015.3;10156;5;3;171;199;Yes;No
